accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss,learning_rate
0.8252934813499451,0.4920611083507538,0.2992343306541443,0.8715343475341797,0.16818676888942719,0.7301112413406372,9.999999747378752e-05
0.9114081263542175,0.6682043671607971,0.1528039425611496,0.9004234671592712,0.013090431690216064,0.9849640130996704,9.999999747378752e-05
0.9191492199897766,0.6980175971984863,0.13070347905158997,0.747444212436676,0.03725096583366394,0.9368650317192078,9.999999747378752e-05
0.9227085709571838,0.7143265604972839,0.12004192918539047,0.7288744449615479,0.07610581815242767,0.8662288188934326,9.999999747378752e-05
0.9264611601829529,0.7292847633361816,0.10940729826688766,0.7289835810661316,0.1504463404417038,0.7355496287345886,9.999999747378752e-05
0.9286514520645142,0.7402461767196655,0.10397345572710037,0.7208884358406067,0.16582214832305908,0.7051635980606079,9.999999747378752e-05
0.9307022094726562,0.7493575811386108,0.09798180311918259,0.7283669710159302,0.23799242079257965,0.5826894640922546,1.9999999494757503e-05
0.9307276606559753,0.7526727318763733,0.09614864736795425,0.7333532571792603,0.2851255238056183,0.5091897249221802,1.9999999494757503e-05
0.931040346622467,0.7537226676940918,0.09573354572057724,0.82692551612854,0.3854583203792572,0.39497506618499756,1.9999999494757503e-05
0.931922435760498,0.7570227384567261,0.09365437924861908,0.8796678781509399,0.5143018960952759,0.27067020535469055,1.9999999494757503e-05
0.931821882724762,0.7583617568016052,0.0931161642074585,0.900730550289154,0.592831015586853,0.20373065769672394,1.9999999494757503e-05
0.9320102334022522,0.7582594156265259,0.0921010747551918,0.9160528182983398,0.6560864448547363,0.15504786372184753,1.9999999494757503e-05
0.9323759078979492,0.7582833170890808,0.09149876236915588,0.9183249473571777,0.6677220463752747,0.14592105150222778,1.9999999494757503e-05
0.9327080845832825,0.7610723376274109,0.09076378494501114,0.9232869744300842,0.6907797455787659,0.12992197275161743,1.9999999494757503e-05
0.9334994554519653,0.7652848958969116,0.08913157880306244,0.9300394654273987,0.7251132130622864,0.10779998451471329,1.9999999494757503e-05
0.9332363605499268,0.759239912033081,0.08878025412559509,0.9367373585700989,0.7530450224876404,0.09719425439834595,1.9999999494757503e-05
0.9340908527374268,0.7667552828788757,0.08752872794866562,0.9370495080947876,0.7575553059577942,0.09224337339401245,1.9999999494757503e-05
0.934399425983429,0.7691679000854492,0.08628704398870468,0.9360710382461548,0.7560285925865173,0.09022357314825058,1.9999999494757503e-05
0.9340497255325317,0.7684321999549866,0.08582721650600433,0.9380376935005188,0.7640438675880432,0.08790382742881775,1.9999999494757503e-05
0.9348392486572266,0.7725873589515686,0.0845506489276886,0.9386006593704224,0.7664800882339478,0.08686865866184235,1.9999999494757503e-05
0.9350423812866211,0.7712670564651489,0.08421418070793152,0.9382334351539612,0.7673619389533997,0.0847361609339714,1.9999999494757503e-05
0.9352173805236816,0.7685940861701965,0.08418980240821838,0.937336802482605,0.7638921737670898,0.08530877530574799,1.9999999494757503e-05
0.9353081583976746,0.7740333080291748,0.08353830873966217,0.9392062425613403,0.7700430154800415,0.08505832403898239,1.9999999494757503e-05
